Date,Odometer,Service Category,Description,Shop,Location,Cost,Notes / Source (PDF Page)
07/26/2018,138705,Oil Lube & Filter Change,"Lube, oil & filter change; fluids topped off; multi-point inspection",Wood Motor Company (Chevrolet),"Hwy 62-65 Bypass, Harrison AR 72601 (870-741-8211)",$43.26,"Owner: Lona Yandell. Pg 22-23"
09/24/2020,149589,Oil Lube & Filter Change,"Lube, oil & filter change; coolant at -34°F",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$40.31,"Odometer corrected: shop recorded 49589 but odometer had rolled over 99999 — true mileage 149589. Previous owner was likely misled. Oil leak noted between engine and transmission. Pg 20"
03/18/2022,Unknown,Audio - Radio Installation,"Boss Elite radio (Part# BV775B) installed; custom mounting bracket; wiring pocket",National Auto Trim,"2101 Hwy 7 N, Harrison AR 72601 (870-741-6860)",$394.20,"Owner: Lona Yandell. Pg 19"
04/04/2022,156724,Front End Rebuild,"Replaced both lower control arms with ball joints; replaced both front wheel bearings & seals; replaced both CV axles; 2-wheel alignment performed",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$2365.70 (total invoice),"Total invoice covers all 4/4/22 services listed below. Pg 9-10"
04/04/2022,156724,Engine Seals - Oil Pan,"Replaced oil pan gasket; oil & filter change performed concurrently",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",Included in $2365.70,"Pg 9-10"
04/04/2022,156724,Engine - Valve Cover,"Replaced valve cover gasket; cleaned PCV ports; replaced PCV valve",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",Included in $2365.70,"Pg 9-10"
04/04/2022,156724,Transmission - Filter & Fluid,"Replaced transmission filter & gasket; refilled transmission fluid to spec",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",Included in $2365.70,"Pg 9-10"
04/04/2022,156724,Engine - Timing Belt / Water Pump / Seals,"Replaced timing belt, timing belt tensioner, water pump, front crankshaft seal, and camshaft seal; refilled coolant to spec",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",Included in $2365.70,"Pg 9-10"
04/04/2022 – 04/22/2022,Unknown,Body - Full Paint,"Complete overall repaint of body; body materials & labor included",Maaco Collision Repair & Auto Painting,"1405 W Chestnut Expy, Springfield MO 65802 (417-831-4747)",$1777.91,"Owner: Lona Yandell. Vehicle in shop ~18 days. Pg 14-15"
05/31/2022,Unknown,Battery Replacement,"Battery replaced (Gr26 525c; 2-Year Free Replacement Warranty)",Harrison Battery & Tire,"104 Bluebird Street, Harrison AR 72601 (870-741-7041)",$123.74,"Owner: Lona Yandell. Replaces battery installed 12/12/2017. Pg 24"
06/10/2022,Unknown,Alternator Replacement,"Alternator replaced (Charley part# 13214A); core returned",O'Reilly Auto Parts (sold via Charley Mccutcheon account),"1201 Hwy 62-65 North, Harrison AR 72601 (870-204-7828)",$141.83,"Per receipt: purchased for 1990 Geo Metro 1.0L 3-cyl. Core charge $23.00 applied/returned. Pg 12"
06/10/2022,Unknown,Fuse Replacement,"PAL fuse replaced",O'Reilly Auto Parts,"1201 Hwy 62-65 North, Harrison AR 72601 (870-204-7828)",$5.46,"Likely related to alternator/electrical work same day. Pg 13"
12/05/2022,161554,Oil Lube & Filter Change,"Lube, oil & filter change; coolant at -34°F",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$50.24,"Owner: Lona Yandell. Pg 8"
11/08/2023,165761,Oil Lube & Filter Change,"Lube, oil & filter change; coolant at -34°F",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$51.33,"Tech notes: all 4 tires at wear bar - recommend replacing. LH CV axle boot starting to split (not leaking yet). Pg 11"
11/10/2023,165834,Tires - Full Set (4),"Replaced all 4 tires: Kenda P175/70R13 82H Touring A/S 4-ply (DOT 4CA 02TFHAANL3123); includes mount, balance, valve stems & free lifetime rotation",Worley's Tire,"804 E Stephenson Street, Harrison AR 72601 (870-743-3609)",$376.94,"Owner: Lona Yandell. Pg 6"
08/14/2024,170719,Oil Lube & Filter Change,"Lube, oil & filter change; coolant at -34°F",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$55.71,"Tech notes: LH CV axle boot split & slinging grease; outer tie rod ends have play; oil getting up to air filter. Pg 18"
08/14/2024,170719,Steering - Tie Rod Ends + Alignment,"Replaced both outer tie rod ends; 2-wheel alignment performed",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$357.46,"Pg 16"
08/14/2024,170719,CV Axle - Left Front,"Replaced left front CV axle assembly",Auto Medics Pro LLC,"306 Hwy 62-65 North, Harrison AR 72601 (870-743-4907)",$313.30,"Pg 17"
09/05/2024,Unknown,Steering & CV Axle,"Replaced right outer tie rod end; replaced left CV axle",Jesse Beadio,Unknown,$224.09,"Parts: $124.09 / Labor: $100.00. Handwritten receipt #914567. Pg 34"
10/11/2024,Unknown,Ignition Tune-Up,"Replaced distributor cap, ignition wires & spark plugs",Jesse Beadio,Unknown,$171.00,"Parts: $121.00 / Labor: $50.00. Handwritten receipt #914575. Pg 33"
